Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,WHIP,BABIP,FIP,xFIP,GB%,FB%,SwStr%,PlayerId
Yehizon Sanchez,OAK,A+,24,2,0,4.14,39,0,0,0,0,0,,41.1,176,31,24,22,2,10,0,37,8.06,4.79,1.68,0.65,21.0,12.5,8.5,1.28,0.250,4.30,4.12,53.6,28.6,10.6,sa3011574
Hunter Parsons,NYM,AA,28,3,2,4.91,22,0,0,0,0,0,,29.1,127,19,19,19,2,1,2,40,12.27,5.83,2.11,2.15,31.5,15.0,16.5,1.30,0.203,5.81,4.14,28.6,57.1,13.8,sa3011606
James Gonzalez,OAK,AA,24,4,4,4.27,17,17,0,0,0,0,,78,340,81,45,35,2,9,1,83,9.58,4.04,2.37,0.69,24.4,10.3,14.1,1.49,0.350,3.75,3.91,44.1,32.7,13.5,sa3011609
Yosber Sanchez,DET,"A,AA",24,3,4,5.09,31,0,0,0,4,3,,40.2,187,41,30,23,3,4,1,40,8.85,5.09,1.74,0.66,21.4,12.3,9.1,1.57,0.322,4.23,4.32,47.9,31.6,9.8,sa3011636
Josh Wolf,SFG,A+,24,5,3,4.74,29,9,0,0,1,1,,57,279,46,32,57,7,9,0,67,10.58,9.00,1.18,0.79,24.0,20.4,3.6,1.81,0.287,5.61,5.84,46.3,38.1,14.4,sa3011638
Nestor Lorant,CIN,A+,23,2,10,5.79,24,23,0,0,0,0,,98,462,121,73,40,5,9,1,91,8.36,3.67,2.28,1.01,19.7,8.7,11.0,1.64,0.349,4.39,4.27,30.8,42.1,12.8,sa3011640
Conor Grammes,ARI,"AA,AAA",27,0,0,7.01,25,0,0,0,0,0,,25.2,149,30,26,38,6,6,0,31,10.87,13.32,0.82,0.35,20.8,25.5,-4.7,2.65,0.397,6.77,7.12,50.0,23.6,9.8,sa3011651
Victor Simeon,TEX,A+,24,4,0,4.43,36,0,0,0,5,2,,44.2,208,31,24,44,5,11,1,66,13.30,8.87,1.50,0.20,31.7,21.2,10.6,1.68,0.326,4.02,4.77,30.8,47.3,16.1,sa3011677
Gabriel Sosa,SEA,A+,24,2,1,2.90,42,0,0,0,9,1,,40.1,172,25,14,27,3,10,0,50,11.16,6.02,1.85,0.89,29.1,15.7,13.4,1.29,0.239,4.49,4.17,50.5,30.8,13.9,sa3011682
Noah Song,BOS,"A,A+,AA,AAA,CPX",28,3,1,4.58,31,4,0,0,1,0,,55,242,54,29,28,2,1,0,61,9.98,4.58,2.18,0.65,25.2,11.6,13.6,1.49,0.340,3.70,3.91,34.0,36.1,13.3,sa3011695
Brendan Cellucci,BOS,"AA,AAA",27,2,1,7.28,18,0,0,0,1,0,,29.2,146,35,26,23,3,1,0,35,10.62,6.98,1.52,0.91,24.0,15.8,8.2,1.96,0.390,5.06,4.98,51.2,26.2,14.2,sa3011710
Avery Short,ARI,"AA,AAA",24,4,7,4.73,22,22,0,0,0,0,,102.2,447,98,56,37,8,3,1,75,6.57,3.24,2.03,1.40,16.8,8.3,8.5,1.31,0.264,5.35,5.09,38.2,42.5,7.9,sa3011712
Darvin Garcia,BOS,A+,26,1,4,10.65,21,0,0,0,1,2,,36.1,197,39,46,38,11,14,2,36,8.92,9.41,0.95,0.50,18.3,19.3,-1.0,2.12,0.336,6.17,6.35,43.4,28.3,10.6,sa3011716
Indigo Diaz,NYY,AA,26,8,3,2.58,42,0,0,0,6,1,,52.1,215,36,18,22,1,4,0,46,7.91,3.78,2.09,0.34,21.4,10.2,11.2,1.11,0.236,3.35,4.12,39.4,40.1,14.2,sa3011726
Manuel Medina,BOS,"A,A+",23,4,4,4.06,23,2,0,0,2,4,,57.2,242,50,32,20,5,2,0,69,10.77,3.12,3.45,0.47,28.5,8.3,20.2,1.21,0.324,3.04,3.01,51.7,25.5,17.8,sa3011728
Ryan Harbin,PIT,"A+,AA,AAA",23,4,4,4.69,50,1,0,0,7,3,,63.1,288,55,38,46,3,9,0,92,13.07,6.54,2.00,0.43,31.9,16.0,16.0,1.59,0.361,3.41,3.59,45.5,28.7,14.1,sa3011733
Matt Allan,NYM,"A,A+",24,0,3,3.60,11,9,0,0,0,0,,20,96,15,11,16,5,3,1,23,10.35,7.20,1.44,0.45,24.0,16.7,7.3,1.55,0.275,5.01,5.37,34.0,38.0,11.9,sa3011740
Brennan Malone,PIT,A,24,1,0,4.45,25,0,0,0,0,0,,28.1,136,27,15,21,7,1,1,26,8.26,6.67,1.24,0.95,19.1,15.4,3.7,1.69,0.304,6.05,5.76,35.4,35.4,9.3,sa3011741
Gavin Collyer,TEX,"AA,AAA",24,5,6,4.40,51,0,0,0,8,8,,61.1,288,51,33,46,5,8,0,86,12.62,6.75,1.87,0.59,29.9,16.0,13.9,1.58,0.320,4.12,4.62,36.3,41.1,11.6,sa3011742
Alexander Cornielle,MIL,"AA,AAA",23,5,9,3.81,29,29,0,0,0,0,,137,595,116,65,71,12,9,2,135,8.87,4.66,1.90,0.99,22.7,11.9,10.8,1.36,0.279,4.49,4.31,37.7,40.1,11.6,sa3011779
Ben Peoples,TBR,AAA,24,2,4,3.33,45,0,0,0,0,1,,48.2,204,34,23,26,3,4,0,47,8.69,4.81,1.81,0.74,23.0,12.7,10.3,1.23,0.242,4.42,5.18,37.6,41.6,14.1,sa3011784
Alejandro Mendez,BAL,A+,24,1,1,6.86,22,0,0,0,1,2,,21,107,15,19,27,4,7,0,28,12.00,11.57,1.04,0.43,26.2,25.2,0.9,2.00,0.298,5.77,5.93,42.6,31.9,11.3,sa3011785
Brad Deppermann,CHC,AA,29,4,2,2.76,41,0,0,0,5,3,,45.2,188,41,16,11,0,4,1,42,8.28,2.17,3.82,0.00,22.3,5.9,16.5,1.14,0.304,2.07,3.20,46.7,35.6,11.3,sa3011801
Jean Pinto,HOU,"A,A+,CPX",24,2,2,4.21,18,13,0,0,3,0,,68.1,283,54,33,30,1,2,3,58,7.64,3.95,1.93,0.40,20.5,10.6,9.9,1.23,0.267,3.66,3.91,48.4,28.2,12.5,sa3011803
Jace Beck,NYM,A+,25,4,3,5.80,42,0,0,0,1,5,,45,200,33,29,30,4,12,3,68,13.60,6.00,2.27,0.60,34.0,15.0,19.0,1.40,0.316,3.50,3.57,37.1,40.2,15.1,sa3011811
Tyler Schlaffer,CHC,"A+,AA",24,7,3,3.53,21,21,0,0,0,0,,104.2,429,79,45,46,4,3,0,102,8.77,3.96,2.22,0.77,23.8,10.7,13.1,1.19,0.261,3.91,3.73,43.9,35.7,10.3,sa3011815
Andrew Dalquist,CHW,AA,24,6,3,3.20,43,0,0,0,1,2,,56.1,236,37,21,40,1,5,0,50,7.99,6.39,1.25,0.64,21.2,16.9,4.2,1.37,0.234,4.52,4.62,44.8,37.8,8.9,sa3011841
Bodi Rascon,SDP,"A,A+",24,2,4,7.01,26,0,0,0,0,3,,51.1,258,62,46,45,0,6,0,40,7.01,7.89,0.89,0.70,15.5,17.4,-1.9,2.08,0.343,5.59,5.29,56.0,22.6,7.4,sa3011849
Woo-Suk Go,MIA,"A,A+,AAA,CPX",26,2,1,4.46,32,3,0,0,3,1,,42.1,188,40,24,25,1,5,0,37,7.87,5.31,1.48,1.06,19.7,13.3,6.4,1.54,0.292,5.12,4.67,45.5,28.1,11.8,sa3012630
Shane Drohan,BOS,"A+,AAA",26,5,2,3.00,15,14,0,0,0,0,,54,223,40,19,21,2,4,0,77,12.83,3.50,3.67,0.83,34.5,9.4,25.1,1.13,0.297,3.11,3.53,41.0,43.4,17.3,sa3014447
Tanner Burns,CLE,AAA,26,3,1,5.86,24,0,0,0,0,1,,35.1,158,36,26,19,0,1,0,28,7.13,4.84,1.47,1.02,17.7,12.0,5.7,1.56,0.299,5.00,5.36,34.6,35.5,10.7,sa3014451
Sam Weatherly,COL,AA,26,0,1,8.06,39,0,0,0,2,0,,48,236,44,46,44,5,3,0,66,12.38,8.25,1.50,1.88,28.0,18.6,9.3,1.83,0.306,6.31,5.01,29.4,48.7,12.2,sa3014455
Garrett Stallings,MIL,AAA,27,5,3,3.99,30,15,0,0,0,0,,99.1,406,97,45,22,0,2,0,72,6.52,1.99,3.27,0.82,17.7,5.4,12.3,1.20,0.290,3.89,4.52,41.5,33.8,10.7,sa3014457
Beck Way,KCR,"AA,AAA",25,4,6,5.93,46,0,0,0,1,3,,74.1,342,77,50,42,12,12,3,55,6.66,5.09,1.31,1.21,16.1,12.3,3.8,1.60,0.300,5.92,5.65,42.4,32.3,10.9,sa3014462
Zach Peek,MIL,"A+,AA",27,11,3,3.63,43,0,0,0,3,5,,69.1,299,62,31,31,3,10,0,75,9.74,4.02,2.42,0.65,25.1,10.4,14.7,1.34,0.308,3.51,3.43,46.8,30.3,11.2,sa3014469
Jared Kelley,CHW,"A+,AA",23,3,1,3.19,38,0,0,0,0,2,,48,202,40,20,25,1,8,0,53,9.94,4.69,2.12,0.38,26.2,12.4,13.9,1.35,0.314,3.18,3.33,52.1,26.1,12.2,sa3014471
Zach McCambley,MIA,"AA,AAA",26,2,3,2.90,47,0,0,0,1,1,,62,251,46,22,22,4,5,0,83,12.05,3.19,3.77,0.44,33.1,8.8,24.3,1.10,0.309,2.60,3.00,42.0,31.9,16.3,sa3014478
Carter Baumler,BAL,"A+,AA,CPX",23,2,0,2.04,28,0,0,0,2,0,,39.2,158,25,9,18,1,4,4,46,10.44,4.08,2.56,0.00,29.1,11.4,17.7,1.08,0.269,2.50,3.56,39.8,41.9,14.2,sa3014480
Christian Chamberlain,KCR,AA,25,3,3,2.93,42,0,0,0,3,1,,43,196,27,19,36,7,6,3,50,10.47,7.53,1.39,0.00,25.5,18.4,7.1,1.47,0.262,4.13,5.53,33.7,47.5,12.2,sa3014486
Nick Frasso,LAD,AAA,26,6,1,5.49,43,7,0,0,1,3,,77,346,80,47,42,4,8,1,68,7.95,4.91,1.62,1.17,19.7,12.1,7.5,1.58,0.315,5.68,5.76,42.2,32.2,9.3,sa3014492
Dylan MacLean,TEX,A+,22,4,1,3.34,21,10,0,0,0,2,,72.2,285,53,30,15,1,1,1,65,8.05,1.86,4.33,1.11,22.8,5.3,17.5,0.94,0.226,3.87,3.62,34.0,45.5,12.2,sa3014508
Tekoah Roby,STL,"AA,AAA",23,7,4,3.10,16,16,0,0,0,0,,78.1,316,67,31,19,1,4,1,87,10.00,2.18,4.58,0.92,27.5,6.0,21.5,1.10,0.294,3.34,3.25,43.7,32.0,14.6,sa3014519
Jeremy Wu-Yelland,BOS,"A+,AA",26,3,1,3.15,25,0,0,0,4,1,,45.2,189,33,16,16,7,4,3,71,13.99,3.15,4.44,0.79,37.6,8.5,29.1,1.07,0.319,2.86,2.52,34.8,34.8,13.5,sa3014520
Dax Fulton,MIA,"AA,AAA",23,5,11,5.38,23,22,1,0,0,0,,103.2,483,109,71,59,7,15,2,115,9.98,5.12,1.95,0.43,23.8,12.2,11.6,1.62,0.350,3.55,3.83,47.2,27.6,12.3,sa3014535
Ian Bedell,STL,"A,AAA,CPX",25,0,6,7.69,17,17,0,0,0,0,,59.2,276,70,51,27,3,4,0,61,9.20,4.07,2.26,2.26,22.1,9.8,12.3,1.63,0.324,6.24,4.97,37.5,39.1,10.4,sa3014538
Ben Hernandez,SEA,A+,23,4,2,3.46,37,0,0,0,0,2,,54.2,244,46,31,29,11,5,0,49,8.07,4.77,1.69,0.33,20.1,11.9,8.2,1.37,0.288,4.33,4.62,58.4,20.1,9.8,sa3014541
Nick Swiney,HOU,A+,26,3,4,5.51,24,2,0,0,1,2,,49,229,58,32,27,2,1,4,45,8.27,4.96,1.67,1.10,19.7,11.8,7.9,1.73,0.349,4.92,4.63,39.9,39.9,9.1,sa3014542
Liam Norris,ARI,A+,23,1,1,8.67,22,0,0,0,0,0,,27,155,23,32,50,2,5,0,47,15.67,16.67,0.94,2.00,30.3,32.3,-1.9,2.70,0.340,8.63,7.15,32.7,49.1,11.1,sa3014543
Marco Raya,MIN,AAA,22,2,8,6.02,30,20,0,0,0,0,,98.2,451,103,72,57,7,13,1,102,9.30,5.20,1.79,1.46,22.6,12.6,10.0,1.62,0.323,5.48,4.64,48.9,26.1,12.9,sa3014550
Alex Santos II,HOU,AA,23,0,4,4.60,10,7,0,0,0,1,,29.1,129,21,17,23,1,1,0,38,11.66,7.06,1.65,0.92,29.5,17.8,11.6,1.50,0.281,4.64,4.52,36.9,43.1,13.9,sa3014684
Robert Puason,OAK,CPX,22,2,1,6.84,19,0,0,0,0,4,,26.1,123,33,22,11,5,7,1,16,5.47,3.76,1.45,1.03,13.0,8.9,4.1,1.67,0.341,6.59,6.53,36.7,46.7,12.0,sa3014697
Stevie Emanuels,OAK,AA,26,8,1,2.70,46,0,0,0,0,2,,53.1,240,44,20,37,2,5,0,67,11.31,6.24,1.81,0.00,27.9,15.4,12.5,1.52,0.328,3.13,4.41,36.4,40.9,15.9,sa3014698
Po-Yu Chen,PIT,"AA,AAA",23,6,11,5.11,29,26,0,0,0,0,,112.2,511,118,67,54,12,3,0,97,7.75,4.31,1.80,0.88,19.0,10.6,8.4,1.53,0.318,4.62,4.68,39.8,36.5,10.3,sa3014699
Ruben Salinas,SDP,"A,CPX",22,0,3,10.69,21,0,0,0,0,0,,32,171,53,39,19,4,10,0,36,10.13,5.34,1.89,1.13,21.1,11.1,9.9,2.25,0.454,5.82,4.97,46.3,25.9,9.2,sa3014704
Esmerlin Vinicio,SFG,A+,22,2,2,6.14,29,5,0,0,1,1,,48.1,238,53,34,42,5,10,1,55,10.24,7.82,1.31,0.56,23.1,17.6,5.5,1.97,0.376,4.90,5.31,45.9,31.6,9.8,sa3014708
Tink Hence,STL,"A,A+,AA,CPX",22,0,1,2.95,8,8,0,0,0,0,,21.1,86,13,7,13,1,3,0,24,10.12,5.48,1.85,0.42,27.9,15.1,12.8,1.22,0.255,3.80,4.18,45.8,37.5,12.7,sa3014709
CJ Van Eyk,TOR,"AA,AAA",26,6,10,4.79,27,24,1,0,1,0,,126,554,126,87,51,8,4,0,109,7.79,3.64,2.14,1.43,19.7,9.2,10.5,1.40,0.290,5.17,4.48,48.0,28.8,10.9,sa3014713
Adisyn Coffey,CHW,"A+,AA,AAA",26,4,5,5.20,44,1,0,0,1,4,,55.1,247,52,37,28,1,3,0,75,12.20,4.55,2.68,1.95,30.4,11.3,19.0,1.45,0.305,5.09,3.74,38.7,38.0,15.9,sa3014738
Cesar Gomez,ARI,"AA,AAA",26,3,3,5.60,26,8,0,0,3,1,,62.2,272,71,42,24,2,1,0,46,6.61,3.45,1.92,1.44,16.9,8.8,8.1,1.52,0.321,5.52,5.06,38.3,33.7,9.1,sa3014799
Shohei Tomioka,OAK,"AA,AAA",29,2,5,4.44,45,0,0,0,11,2,,50.2,221,51,30,25,1,4,0,52,9.24,4.44,2.08,0.36,23.5,11.3,12.2,1.50,0.348,3.54,3.84,52.9,22.1,8.9,sa3014808
Braxton Roxby,SFG,"AA,AAA",26,5,5,3.63,45,0,0,0,3,1,,62,261,44,33,27,7,3,2,82,11.90,3.92,3.04,0.87,31.4,10.3,21.1,1.15,0.273,3.90,4.02,43.6,40.0,14.1,sa3014811
Carson Rudd,CIN,"A+,AA,AAA",26,3,0,7.51,26,0,0,0,0,0,,44.1,212,51,40,28,2,2,0,28,5.68,5.68,1.00,0.61,13.2,13.2,0.0,1.78,0.318,4.90,5.58,37.1,38.4,9.5,sa3014812
Edwin Nunez,STL,"A,AA,CPX",23,6,2,9.66,38,0,0,0,0,3,,45.2,233,41,54,53,13,21,3,48,9.46,10.45,0.91,0.99,20.6,22.7,-2.1,2.06,0.316,7.15,6.72,45.7,34.5,11.3,sa3014813
Carter Loewen,SDP,"AA,AAA",26,0,0,2.16,20,0,0,0,0,0,,25,89,10,6,8,1,1,0,23,8.28,2.88,2.88,0.72,25.8,9.0,16.9,0.72,0.145,3.78,3.79,45.6,35.1,11.6,sa3014844
Adam Laskey,MIA,"AA,AAA",27,2,9,4.11,27,19,0,0,0,0,,85.1,365,86,44,32,5,8,3,75,7.91,3.37,2.34,0.84,20.5,8.8,11.8,1.38,0.318,4.07,3.81,53.7,24.2,10.3,sa3014851
Holden Powell,WSN,"AA,AAA",25,5,2,4.02,50,0,0,0,1,1,,56,252,43,29,46,7,3,0,55,8.84,7.39,1.20,0.32,21.8,18.3,3.6,1.59,0.289,4.76,5.65,44.5,36.5,10.5,sa3014854
Evan Reifert,TBR,"AAA,CPX",26,2,4,3.26,33,2,0,0,5,2,,30.1,140,23,16,20,3,3,0,54,16.02,5.93,2.70,0.89,38.6,14.3,24.3,1.42,0.333,3.50,3.17,47.5,30.5,19.1,sa3014860
TJ Shook,NYM,"AA,AAA",27,6,2,2.41,36,2,0,0,8,2,,56,231,48,20,17,3,4,1,61,9.80,2.73,3.59,0.80,26.4,7.4,19.0,1.16,0.297,3.37,3.36,44.5,35.6,13.6,sa3014915
A.J. Block,LAA,"A+,AA",27,0,5,3.18,33,1,0,0,10,3,,51,225,44,24,27,4,2,0,65,11.47,4.76,2.41,0.53,28.9,12.0,16.9,1.39,0.325,3.38,3.44,54.8,26.6,13.0,sa3014916
Cole Percival,MIN,"A+,AA,AAA",26,3,4,5.72,31,0,0,0,3,1,,39.1,185,45,27,21,3,3,1,44,10.07,4.81,2.10,0.46,23.8,11.4,12.4,1.68,0.374,3.67,4.03,45.6,28.9,10.1,sa3014919
Sam Thoresen,CHC,"A+,AA",26,0,3,3.95,26,0,0,0,1,0,,27.1,129,18,17,29,2,3,0,39,12.84,9.55,1.34,0.00,30.2,22.5,7.8,1.72,0.305,3.85,4.49,45.6,29.8,15.1,sa3014920
Jimmy Endersby,ARI,"AA,AAA",27,4,3,2.32,8,6,0,0,0,0,,42.2,180,48,12,9,0,2,0,37,7.80,1.90,4.11,0.42,20.6,5.0,15.6,1.34,0.348,3.04,3.58,47.0,27.3,11.0,sa3014921
Kyle Brnovich,COL,"AAA,CPX",27,3,6,7.34,23,19,0,0,0,0,,83.1,392,94,73,49,7,4,0,91,9.83,5.29,1.86,1.62,23.2,12.5,10.7,1.72,0.343,5.78,5.41,34.3,39.3,10.8,sa3014923
Dane Acker,TEX,"AAA,CPX",26,5,1,5.26,32,2,0,0,0,2,,53,239,61,35,26,1,2,0,56,9.51,4.42,2.15,0.85,23.4,10.9,12.6,1.64,0.371,4.64,5.09,45.1,32.0,11.6,sa3014924
Blane Abeyta,ATL,AA,26,3,1,2.29,43,0,0,0,5,2,,51,207,34,16,20,2,2,0,68,12.00,3.53,3.40,1.06,32.9,9.7,23.2,1.06,0.252,3.34,2.86,35.1,43.9,16.2,sa3014975
Nick Davila,SEA,AA,26,1,4,3.55,39,0,0,0,4,2,,50.2,218,47,26,22,1,7,1,40,7.11,3.91,1.82,0.36,18.3,10.1,8.3,1.36,0.294,3.75,4.28,54.3,27.8,11.3,sa3014980
Taylor Dollard,SEA,"A+,CPX",26,3,4,4.54,19,18,0,0,0,0,,69.1,309,81,40,17,8,1,0,54,7.01,2.21,3.18,1.43,17.5,5.5,12.0,1.41,0.320,5.25,4.94,38.7,40.9,9.3,sa3014982
Logan Boyer,LAD,AAA,27,5,5,5.00,50,0,0,0,1,4,,54,251,61,31,39,2,4,1,51,8.50,6.50,1.31,0.83,20.3,15.5,4.8,1.85,0.364,5.56,6.09,36.1,32.3,11.9,sa3015002
Grant Judkins,OAK,A+,27,8,9,4.73,24,24,1,0,0,0,,123.2,531,123,75,42,1,5,0,103,7.50,3.06,2.45,1.46,19.4,7.9,11.5,1.33,0.282,4.89,3.98,37.4,40.1,9.2,sa3015004
Nick Krauth,TEX,"AA,AAA",25,2,0,5.18,15,0,0,0,1,0,,33,157,45,22,12,5,0,0,26,7.09,3.27,2.17,1.36,16.6,7.6,8.9,1.73,0.367,5.50,4.95,42.0,30.4,9.9,sa3015006
Adam Seminaris,SEA,AA,26,7,7,3.02,24,22,0,0,0,0,,125.1,519,116,47,36,4,2,2,105,7.54,2.59,2.92,0.14,20.2,6.9,13.3,1.21,0.306,2.94,3.76,48.9,27.7,9.5,sa3015010
Mason Hickman,CLE,AAA,26,1,2,9.28,12,1,0,0,0,0,,21.1,104,24,23,19,3,1,0,22,9.28,8.02,1.16,1.27,21.2,18.3,2.9,2.02,0.368,6.36,6.13,39.7,34.5,8.3,sa3015033
Jack Dashwood,LAA,AAA,27,2,6,7.33,48,2,0,0,1,5,,54,262,77,49,24,1,2,0,56,9.33,4.00,2.33,1.67,21.4,9.2,12.2,1.87,0.392,5.69,5.49,30.9,37.1,12.2,sa3015035
Ryan Watson,SFG,AAA,27,4,3,4.26,46,0,0,0,9,4,,50.2,228,58,28,16,1,2,0,64,11.37,2.84,4.00,0.89,28.1,7.0,21.1,1.46,0.373,3.73,4.01,43.8,29.9,12.5,sa3015070
Jose Davila,STL,A+,22,3,6,6.06,24,22,0,0,0,0,,98,453,108,68,50,14,9,3,88,8.08,4.59,1.76,1.01,19.4,11.0,8.4,1.61,0.334,5.03,4.67,45.3,37.2,10.5,sa3015092
Jordan Mikel,CHW,AA,26,2,3,4.11,25,2,0,0,1,1,,46,192,44,22,14,4,4,0,38,7.43,2.74,2.71,0.78,19.8,7.3,12.5,1.26,0.303,3.84,3.59,40.7,28.1,12.1,sa3015094
Ruben Galindo,SDP,"A+,CPX",24,1,3,7.36,25,2,0,0,1,1,,29.1,148,34,28,23,3,0,1,35,10.74,7.06,1.52,0.31,23.6,15.5,8.1,1.94,0.384,4.31,4.62,54.8,27.4,12.5,sa3015100
Erubiel Armenta,PHI,"A,A+",25,2,0,4.26,25,0,0,0,0,0,,25.1,117,17,16,21,3,3,5,37,13.14,7.46,1.76,0.00,31.6,17.9,13.7,1.50,0.304,3.34,4.15,49.1,34.5,16.4,sa3015125
Geison Urbaez,TOR,AA,24,2,3,3.18,29,4,0,0,0,1,,56.2,261,53,32,35,5,6,4,42,6.67,5.56,1.20,0.79,16.1,13.4,2.7,1.55,0.276,5.07,5.14,42.9,34.7,10.3,sa3015135
Coleman Crow,MIL,"AA,AAA",24,4,1,3.24,12,12,0,0,0,0,,50,200,40,18,12,3,0,0,64,11.52,2.16,5.33,0.54,32.0,6.0,26.0,1.04,0.314,2.35,2.33,49.2,27.5,14.6,sa3015142
Johzan Oquendo,CHC,"A+,AA",24,4,1,2.72,28,0,0,0,2,0,,36.1,153,19,12,22,5,2,0,46,11.39,5.45,2.09,0.50,30.1,14.4,15.7,1.13,0.218,3.80,3.82,54.5,35.1,13.2,sa3015148
Alejandro Hidalgo,MIN,"A+,AA",22,0,8,6.48,24,24,0,0,0,0,,84.2,387,86,67,46,4,10,0,99,10.52,4.89,2.15,1.59,25.6,11.9,13.7,1.56,0.318,5.15,3.94,36.2,37.9,15.5,sa3015151
Leonard Garcia,LAA,"A,A+",21,5,4,3.77,41,0,0,0,2,4,,59.2,257,46,29,30,6,1,2,84,12.67,4.53,2.80,1.21,32.7,11.7,21.0,1.27,0.295,4.29,3.65,44.3,37.4,15.5,sa3015156
Franklin Sanchez,MIA,"A,A+",24,0,2,4.43,19,0,0,0,1,0,,22.1,103,11,14,23,5,7,1,35,14.10,9.27,1.52,0.40,34.0,22.3,11.7,1.52,0.256,4.70,4.81,47.5,37.5,12.6,sa3015157
Emiliano Teodo,TEX,"AA,AAA,CPX",24,3,2,7.20,27,0,0,0,0,1,,30,149,27,26,29,3,5,0,38,11.40,8.70,1.31,1.20,25.5,19.5,6.0,1.87,0.307,6.24,5.93,44.9,34.6,13.7,sa3015158
Angel Gonzalez,STL,A+,22,1,4,6.37,25,0,0,0,2,5,,35.1,176,22,28,47,6,5,1,41,10.44,11.97,0.87,0.25,23.3,26.7,-3.4,1.95,0.259,5.95,6.72,34.6,50.6,16.2,sa3015160
Wilber Dotel,PIT,AA,22,7,9,4.15,27,27,0,0,0,0,,125.2,535,111,62,43,9,5,1,131,9.38,3.08,3.05,1.00,24.5,8.0,16.4,1.23,0.287,3.89,3.63,36.6,38.7,12.7,sa3015163
Drake Fellows,PIT,AAA,27,9,6,4.41,33,19,0,0,0,1,,112.1,483,110,58,46,5,2,0,94,7.53,3.69,2.04,0.88,19.5,9.5,9.9,1.39,0.303,4.46,4.96,41.9,35.2,10.8,sa3015208
Manuel Mercedes,SFG,"A+,AA",22,5,13,6.70,31,16,0,0,0,1,,91.1,424,103,74,49,8,1,1,62,6.11,4.83,1.27,0.99,14.6,11.6,3.1,1.66,0.315,5.24,4.74,47.5,24.1,7.0,sa3015214
Victor Lizarraga,SDP,"AA,AAA",21,5,10,5.77,27,25,0,0,0,1,,101.1,462,105,72,60,5,2,1,92,8.17,5.33,1.53,0.89,19.9,13.0,6.9,1.63,0.322,4.89,5.04,38.9,36.5,10.6,sa3015220
D.J. McCarty,TEX,A+,22,2,6,4.83,23,17,0,0,0,0,,87.2,410,93,53,52,17,3,3,98,10.06,5.34,1.88,0.41,23.9,12.7,11.2,1.65,0.372,4.11,4.34,43.3,28.8,10.3,sa3015222
Aaron Rozek,MIN,"AA,AAA",29,4,1,4.46,32,11,0,0,1,0,,109,471,122,58,36,6,3,0,102,8.42,2.97,2.83,1.24,21.7,7.6,14.0,1.45,0.343,4.54,4.25,39.9,36.4,11.1,sa3015224
Brandan Bidois,PIT,"A,A+,AA,AAA",24,8,0,0.74,40,0,0,0,7,1,,61,230,22,11,27,0,5,0,69,10.18,3.98,2.56,0.00,30.0,11.7,18.3,0.80,0.164,2.44,3.53,34.6,41.5,13.1,sa3015277
Josh Stephan,TEX,"AA,AAA",23,7,7,4.67,25,22,0,0,0,0,,111.2,487,120,62,31,9,10,0,91,7.33,2.50,2.94,1.29,18.7,6.4,12.3,1.35,0.306,4.79,4.34,42.0,34.6,10.6,sa3015286
Jose Luis Reyes,SDP,A+,22,1,3,5.54,9,9,0,0,0,0,,39,182,53,31,17,1,2,1,31,7.15,3.92,1.82,0.92,17.0,9.3,7.7,1.79,0.380,4.54,4.26,38.6,31.8,8.0,sa3015304
Elison Joseph,ATL,AA,24,1,4,4.31,37,0,0,0,6,3,,39.2,187,25,22,41,3,7,2,57,12.93,9.30,1.39,0.00,30.5,21.9,8.6,1.66,0.291,3.64,4.50,36.9,38.1,14.9,sa3015306
Kai Wynyard,TEX,"A,A+",23,6,3,3.94,29,0,0,0,1,2,,59.1,258,51,32,32,3,1,1,52,7.89,4.85,1.63,0.76,20.2,12.4,7.8,1.40,0.277,4.65,4.39,42.2,34.9,10.5,sa3015311
Nolan Clenney,CHC,"A+,AA,AAA",29,1,1,4.21,14,0,0,0,0,1,,25.2,117,25,15,15,2,0,0,16,5.61,5.26,1.07,0.70,13.7,12.8,0.9,1.56,0.280,5.02,5.05,43.6,32.1,9.6,sa3015328
Jose Acuna,CIN,AA,22,6,6,3.64,18,18,0,0,0,0,,71.2,301,58,31,38,2,1,1,69,8.67,4.77,1.82,1.00,22.9,12.6,10.3,1.34,0.272,4.39,4.22,31.7,45.5,11.8,sa3015331
Alonzo Richardson,CLE,"A+,AA,AAA",22,0,1,5.32,27,0,0,0,0,0,,67.2,302,70,41,41,2,6,3,47,6.25,5.45,1.15,1.46,15.6,13.6,2.0,1.64,0.294,6.02,5.01,43.5,34.4,10.3,sa3015333
Aidan Curry,TEX,"A+,CPX",22,5,3,3.83,22,17,0,0,1,1,,84.2,369,71,38,44,2,9,0,116,12.33,4.68,2.64,1.06,31.4,11.9,19.5,1.36,0.310,4.16,3.67,37.4,42.4,15.6,sa3015334
Yerlin Rodriguez,MIL,A+,23,5,3,5.30,43,0,0,0,3,4,,56,269,39,43,60,8,26,2,83,13.34,9.64,1.38,0.64,30.9,22.3,8.6,1.77,0.307,5.01,4.58,50.4,24.8,13.7,sa3015362
