Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,WHIP,BABIP,FIP,xFIP,GB%,FB%,SwStr%,PlayerId
Ron Marinaccio,SDP,AAA,29,6,0,5.05,41,0,0,0,6,5,,46.1,212,48,28,21,3,6,2,51,9.91,4.08,2.43,1.36,24.1,9.9,14.2,1.49,0.315,5.28,5.18,44.2,36.4,14.4,23488
Keaton Winn,SFG,"A,AAA,CPX",27,2,1,7.90,18,4,0,0,0,1,,27.1,130,39,26,9,2,2,0,26,8.56,2.96,2.89,1.32,20.0,6.9,13.1,1.76,0.393,5.22,4.65,51.7,23.6,12.3,23499
Brett de Geus,MIA,AAA,27,3,1,5.63,30,0,0,0,3,1,,38.1,184,52,30,20,2,3,1,25,5.87,4.70,1.25,0.70,13.6,10.9,2.7,1.88,0.366,4.93,5.30,50.0,23.5,6.6,23592
Josh Walker,TOR,AAA,30,2,2,4.64,40,0,0,0,0,1,,42.2,187,41,25,20,2,0,1,45,9.49,4.22,2.25,1.48,24.1,10.7,13.4,1.43,0.301,5.07,4.13,52.1,25.2,10.5,23617
Luis Garcia,HOU,"A,AA,AAA,CPX",28,0,2,3.30,9,8,0,0,0,0,,30,122,28,12,7,0,1,1,38,11.40,2.10,5.43,1.50,31.1,5.7,25.4,1.17,0.319,4.11,3.76,23.4,44.2,17.5,23735
Justin Bruihl,TOR,AAA,28,3,4,3.43,39,0,0,0,3,2,,42,176,32,18,16,2,1,0,49,10.50,3.43,3.06,0.64,27.8,9.1,18.8,1.14,0.274,3.38,3.38,58.4,22.8,12.0,23779
Braxton Ashcraft,PIT,AAA,25,3,3,5.03,10,10,0,0,0,0,,48.1,219,53,29,19,6,0,0,56,10.43,3.54,2.95,0.93,25.6,8.7,16.9,1.49,0.361,4.08,3.86,51.1,23.7,15.1,23793
Randy Dobnak,DET,AAA,30,2,8,5.84,26,18,0,0,0,2,,98.2,448,106,68,51,8,2,0,77,7.02,4.65,1.51,1.19,17.2,11.4,5.8,1.59,0.311,5.44,5.31,51.3,29.5,9.9,23798
Luarbert Arias,MIA,"AA,AAA",24,2,1,5.76,23,2,0,0,0,0,,29.2,141,31,23,22,3,3,1,16,4.85,6.67,0.73,0.61,11.3,15.6,-4.3,1.79,0.296,5.76,6.48,38.8,30.6,10.1,23811
Omar Cruz,SDP,AAA,26,5,5,4.75,31,11,0,0,0,1,,83.1,379,76,52,55,4,8,1,88,9.50,5.94,1.60,0.97,23.2,14.5,8.7,1.57,0.300,5.38,5.87,33.6,38.1,12.7,23875
Luis Peralta,COL,AAA,24,1,4,9.09,34,0,0,0,0,3,,34.2,182,46,40,28,3,3,0,51,13.24,7.27,1.82,1.56,28.0,15.4,12.6,2.13,0.426,5.96,5.88,37.8,41.8,11.9,24203
